endorser,category,candidate,endorsement
AFT Local 2121,"BART Director, District 7",Lateefah Simon,Yes
AFT Local 2121,"BART Director, District 7",Roland Emerson,No
AFT Local 2121,"BART Director, District 7",Will Roscoe,No
AFT Local 2121,"BART Director, District 7",Zakhary Mallett,No
AFT Local 2121,"BART Director, District 9",Bevan Dufty,Yes
AFT Local 2121,"BART Director, District 9",Gywneth Borden,No
AFT Local 2121,"BART Director, District 9",Michael Petraeus,No
AFT Local 2121,"Judge of the Superior Court, Office No 7",Paul Henderson,NA
AFT Local 2121,"Judge of the Superior Court, Office No 7",Victor Hwang,NA
AFT Local 2121,"Member, Board of Education",Ian Kalin,No
AFT Local 2121,"Member, Board of Education",Jill Wynns,No
AFT Local 2121,"Member, Board of Education",Mark Sanchez,Yes
AFT Local 2121,"Member, Board of Education",Matt Haney,Yes
AFT Local 2121,"Member, Board of Education",Phil Kim,No
AFT Local 2121,"Member, Board of Education",Rachel Norton,No
AFT Local 2121,"Member, Board of Education",Rob Geller,No
AFT Local 2121,"Member, Board of Education",Stevon Cook,Yes
AFT Local 2121,"Member, Board of Education",Trevor McNeil,No
AFT Local 2121,"Member, Board of Supervisors, District 1",Andy Thornley,No
AFT Local 2121,"Member, Board of Supervisors, District 1",Brian J. Larkin,No
AFT Local 2121,"Member, Board of Supervisors, District 1",David Lee,No
AFT Local 2121,"Member, Board of Supervisors, District 1",Jason Jungreis,No
AFT Local 2121,"Member, Board of Supervisors, District 1",Jonathan Lyens,No
AFT Local 2121,"Member, Board of Supervisors, District 1",Marjan Philhour,No
AFT Local 2121,"Member, Board of Supervisors, District 1",Richie Greenberg,No
AFT Local 2121,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,Yes
AFT Local 2121,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,No
AFT Local 2121,"Member, Board of Supervisors, District 11",Ahsha Safai,No
AFT Local 2121,"Member, Board of Supervisors, District 11",Berta Hernandez,No
AFT Local 2121,"Member, Board of Supervisors, District 11",Francisco Herrera,No
AFT Local 2121,"Member, Board of Supervisors, District 11",Kim Alvarenga,Yes
AFT Local 2121,"Member, Board of Supervisors, District 11",Magdalena de Guzman,No
AFT Local 2121,"Member, Board of Supervisors, District 3",Aaron Peskin,Yes
AFT Local 2121,"Member, Board of Supervisors, District 3",Tim E. Donnelly,No
AFT Local 2121,"Member, Board of Supervisors, District 5",Dean Preston,Abstain
AFT Local 2121,"Member, Board of Supervisors, District 5",London Breed,Abstain
AFT Local 2121,"Member, Board of Supervisors, District 7",Ben Matranga,No
AFT Local 2121,"Member, Board of Supervisors, District 7",Joel Engardio,No
AFT Local 2121,"Member, Board of Supervisors, District 7",John Farrell,No
AFT Local 2121,"Member, Board of Supervisors, District 7",Mike Young,No
AFT Local 2121,"Member, Board of Supervisors, District 7",Norman Yee,Yes
AFT Local 2121,"Member, Board of Supervisors, District 9",Hillary Ronen,Yes
AFT Local 2121,"Member, Board of Supervisors, District 9",Iswari Espana,No
AFT Local 2121,"Member, Board of Supervisors, District 9",Joshua Arce,No
AFT Local 2121,"Member, Board of Supervisors, District 9",Melissa San Miguel,No
AFT Local 2121,"Member, Community College Board",Alex Randolph,Abstain
AFT Local 2121,"Member, Community College Board",Dr. Amy Bacharach,No
AFT Local 2121,"Member, Community College Board",Rafael Mandelman,Abstain
AFT Local 2121,"Member, Community College Board",Shanell Williams,Yes
AFT Local 2121,"Member, Community College Board",Tom Temprano,Yes
AFT Local 2121,"Member, State Assembly, District 17",David Chiu,Yes
AFT Local 2121,"Member, State Assembly, District 17",Matthew Del Carlo,No
AFT Local 2121,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",No
AFT Local 2121,"Member, State Assembly, District 19",Phil Ting,Yes
AFT Local 2121,"State Senator, District 11",Jane Kim,Yes
AFT Local 2121,"State Senator, District 11",Scott Wiener,No
AFT Local 2121,"United States Representative, District 12",Nancy Pelosi,NA
AFT Local 2121,"United States Representative, District 12",Preston Picus,NA
AFT Local 2121,"United States Representative, District 13",Barbara Lee,NA
AFT Local 2121,"United States Representative, District 13",Sue Caro,NA
AFT Local 2121,"United States Representative, District 14",Angel Cardenas,NA
AFT Local 2121,"United States Representative, District 14",Jackie Speier,NA
AFT Local 2121,President and Vice President,Donald J. Trump and Michael R. Pence,NA
AFT Local 2121,President and Vice President,Gary Johnson and Bill Weld,NA
AFT Local 2121,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,NA
AFT Local 2121,President and Vice President,Hillary Clinton and Tim Kaine,NA
AFT Local 2121,President and Vice President,Jill Stein and Ajamu Baraka,NA
AFT Local 2121,Regional Proposition,RR,NA
AFT Local 2121,SF Proposition,A,Yes
AFT Local 2121,SF Proposition,B,Yes
AFT Local 2121,SF Proposition,C,Yes
AFT Local 2121,SF Proposition,D,NA
AFT Local 2121,SF Proposition,E,Yes
AFT Local 2121,SF Proposition,F,Yes
AFT Local 2121,SF Proposition,G,Yes
AFT Local 2121,SF Proposition,H,Yes
AFT Local 2121,SF Proposition,I,Yes
AFT Local 2121,SF Proposition,J,NA
AFT Local 2121,SF Proposition,K,NA
AFT Local 2121,SF Proposition,L,NA
AFT Local 2121,SF Proposition,M,Yes
AFT Local 2121,SF Proposition,N,Yes
AFT Local 2121,SF Proposition,O,NA
AFT Local 2121,SF Proposition,P,No
AFT Local 2121,SF Proposition,Q,No
AFT Local 2121,SF Proposition,R,NA
AFT Local 2121,SF Proposition,S,NA
AFT Local 2121,SF Proposition,T,NA
AFT Local 2121,SF Proposition,U,No
AFT Local 2121,SF Proposition,V,Yes
AFT Local 2121,SF Proposition,W,Yes
AFT Local 2121,SF Proposition,X,NA
AFT Local 2121,State Proposition,51,NA
AFT Local 2121,State Proposition,52,NA
AFT Local 2121,State Proposition,53,NA
AFT Local 2121,State Proposition,54,NA
AFT Local 2121,State Proposition,55,Yes
AFT Local 2121,State Proposition,56,NA
AFT Local 2121,State Proposition,57,NA
AFT Local 2121,State Proposition,58,NA
AFT Local 2121,State Proposition,59,NA
AFT Local 2121,State Proposition,60,NA
AFT Local 2121,State Proposition,61,NA
AFT Local 2121,State Proposition,62,NA
AFT Local 2121,State Proposition,63,NA
AFT Local 2121,State Proposition,64,NA
AFT Local 2121,State Proposition,65,NA
AFT Local 2121,State Proposition,66,NA
AFT Local 2121,State Proposition,67,NA
AFT Local 2121,United States Senator,Kamala D. Harris,NA
AFT Local 2121,United States Senator,Loretta L. Sanchez,NA
Alice B. Toklas Democratic Club,"BART Director, District 7",Lateefah Simon,Yes
Alice B. Toklas Democratic Club,"BART Director, District 7",Roland Emerson,No
Alice B. Toklas Democratic Club,"BART Director, District 7",Will Roscoe,No
Alice B. Toklas Democratic Club,"BART Director, District 7",Zakhary Mallett,No
Alice B. Toklas Democratic Club,"BART Director, District 9",Bevan Dufty,No
Alice B. Toklas Democratic Club,"BART Director, District 9",Gywneth Borden,Yes
Alice B. Toklas Democratic Club,"BART Director, District 9",Michael Petraeus,No
Alice B. Toklas Democratic Club,"Judge of the Superior Court, Office No 7",Paul Henderson,Yes
Alice B. Toklas Democratic Club,"Judge of the Superior Court, Office No 7",Victor Hwang,No
Alice B. Toklas Democratic Club,"Member, Board of Education",Ian Kalin,No
Alice B. Toklas Democratic Club,"Member, Board of Education",Jill Wynns,Yes
Alice B. Toklas Democratic Club,"Member, Board of Education",Mark Sanchez,No
Alice B. Toklas Democratic Club,"Member, Board of Education",Matt Haney,Yes
Alice B. Toklas Democratic Club,"Member, Board of Education",Phil Kim,No
Alice B. Toklas Democratic Club,"Member, Board of Education",Rachel Norton,Yes
Alice B. Toklas Democratic Club,"Member, Board of Education",Rob Geller,No
Alice B. Toklas Democratic Club,"Member, Board of Education",Stevon Cook,Yes
Alice B. Toklas Democratic Club,"Member, Board of Education",Trevor McNeil,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Andy Thornley,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Brian J. Larkin,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",David Lee,No
Alice B. Toklas Democratic Club,"Member, Board of Supervisors, District 1",Jason Jungreis,No
