"endorser","category","candidate","endorsement"
"Aaron Peskin","District 17","Aaron Peskin","Yes"
"Aaron Peskin","District 17","Alix Rosenthal","No"
"Aaron Peskin","District 17","Alysabeth Alexander","Yes"
"Aaron Peskin","District 17","Arlo Hale Smith","No"
"Aaron Peskin","District 17","Bevan Dufty","Yes"
"Aaron Peskin","District 17","Cindy Wu","Yes"
"Aaron Peskin","District 17","David Campos","Yes"
"Aaron Peskin","District 17","David Giesen","No"
"Aaron Peskin","District 17","Frances Hsieh","Yes"
"Aaron Peskin","District 17","Francis Tsang","No"
"Aaron Peskin","District 17","Gary McCoy","No"
"Aaron Peskin","District 17","Gladys Soto","No"
"Aaron Peskin","District 17","Jane Kim","Yes"
"Aaron Peskin","District 17","Jill Wynns","No"
"Aaron Peskin","District 17","Jo Elias-Jackson","No"
"Aaron Peskin","District 17","John Burton","No"
"Aaron Peskin","District 17","Jon Golinger","Yes"
"Aaron Peskin","District 17","Joshua Arce","No"
"Aaron Peskin","District 17","Leah Pimentel","No"
"Aaron Peskin","District 17","London Breed","No"
"Aaron Peskin","District 17","Malia Cohen","No"
"Aaron Peskin","District 17","Marlene Tran","No"
"Aaron Peskin","District 17","Melissa San Miguel","No"
"Aaron Peskin","District 17","Michael E. Grafton","No"
"Aaron Peskin","District 17","Nicholas Pasquarielleo","No"
"Aaron Peskin","District 17","Petra DeJesus","Yes"
"Aaron Peskin","District 17","Pratima Gupta","Yes"
"Aaron Peskin","District 17","Rafael Mandelman","Yes"
"Aaron Peskin","District 17","Rebecca Prozan","No"
"Aaron Peskin","District 17","Rick Hauptman","No"
"Aaron Peskin","District 17","Rodney Hauge","No"
"Aaron Peskin","District 17","Scott Wiener","No"
"Aaron Peskin","District 17","Shaun Haines","No"
"Aaron Peskin","District 17","Sophie Maxwell","Yes"
"Aaron Peskin","District 17","Tom Ammiano","Yes"
"Aaron Peskin","District 17","Tom Hsieh, Sr.","No"
"Aaron Peskin","District 17","Wade Woods","Yes"
"Aaron Peskin","District 17","Wendy Ha Chau","No"
"Aaron Peskin","District 17","Zoe Dunning","No"
"Aaron Peskin","District 19","Angela Alioto","No"
"Aaron Peskin","District 19","Bill Fazio","No"
"Aaron Peskin","District 19","Brigitte Davila","Yes"
"Aaron Peskin","District 19","Emily Murase","No"
"Aaron Peskin","District 19","Eric Mar","Yes"
"Aaron Peskin","District 19","Gabriel Medina","No"
"Aaron Peskin","District 19","Hene Kelly","Yes"
"Aaron Peskin","District 19","Joel Engardio","No"
"Aaron Peskin","District 19","Kat Anderson","No"
"Aaron Peskin","District 19","Keith Baraka","No"
"Aaron Peskin","District 19","Leah LaCroix","Yes"
"Aaron Peskin","District 19","Marjan Philhour","No"
"Aaron Peskin","District 19","Mark Farrell","No"
"Aaron Peskin","District 19","Mary Jung","No"
"Aaron Peskin","District 19","Myrna Melgar","Yes"
"Aaron Peskin","District 19","Norman Yee","Yes"
"Aaron Peskin","District 19","Rachel Norton","No"
"Aaron Peskin","District 19","Samuel Kwong","No"
"Aaron Peskin","District 19","Sandra Lee Fewer","Yes"
"Aaron Peskin","District 19","Tom A. Hsieh, Jr.","No"
"Aaron Peskin","District 19","Trevor McNeil","No"
"Aaron Peskin","Proposition","Local A",NA
"Aaron Peskin","Proposition","Local B",NA
"Aaron Peskin","Proposition","Local C",NA
"Aaron Peskin","Proposition","Local D",NA
"Aaron Peskin","Proposition","Local E",NA
"Aaron Peskin","Proposition","Regional AA",NA
"Aaron Peskin","Proposition","State 50",NA
"Aaron Peskin","State Senate","Jane Kim",NA
"Aaron Peskin","State Senate","Scott Wiener",NA
"Alice B. Toklas Democratic Club","District 17","Aaron Peskin","No"
"Alice B. Toklas Democratic Club","District 17","Alix Rosenthal","Yes"
"Alice B. Toklas Democratic Club","District 17","Alysabeth Alexander","No"
"Alice B. Toklas Democratic Club","District 17","Arlo Hale Smith","Yes"
"Alice B. Toklas Democratic Club","District 17","Bevan Dufty","No"
"Alice B. Toklas Democratic Club","District 17","Cindy Wu","No"
"Alice B. Toklas Democratic Club","District 17","David Campos","No"
"Alice B. Toklas Democratic Club","District 17","David Giesen","No"
"Alice B. Toklas Democratic Club","District 17","Frances Hsieh","No"
"Alice B. Toklas Democratic Club","District 17","Francis Tsang","Yes"
"Alice B. Toklas Democratic Club","District 17","Gary McCoy","Yes"
"Alice B. Toklas Democratic Club","District 17","Gladys Soto","No"
