endorser,district_17_url,district_19_url,props_url,state_senate_url
Aaron Peskin,https://twitter.com/aaronpeskin/status/730419705312251904,https://twitter.com/aaronpeskin/status/730419705312251904,NA,NA
Alice B. Toklas Democratic Club,http://www.alicebtoklas.org/2016/03/alice-official-endorsements-for-june-7th-2016-primary,http://www.alicebtoklas.org/2016/03/alice-official-endorsements-for-june-7th-2016-primary,http://www.alicebtoklas.org/2016/03/alice-official-endorsements-for-june-7th-2016-primary,http://www.alicebtoklas.org/2016/03/alice-official-endorsements-for-june-7th-2016-primary/
Alix Rosenthal,https://votealix.com/2016/05/19/big-ol-voter-guide-june-2016,https://votealix.com/2016/05/19/big-ol-voter-guide-june-2016,https://votealix.com/2016/05/19/big-ol-voter-guide-june-2016,https://votealix.com/2016/05/19/big-ol-voter-guide-june-2016
Black Young Democrats of San Francisco,https://www.facebook.com/permalink.php?story_fbid=1135862106445891&id=320575234641253,https://www.facebook.com/permalink.php?story_fbid=1135862106445891&id=320575234641253,https://www.facebook.com/permalink.php?story_fbid=1135862106445891&id=320575234641253,NA
BOMA,http://bomasanfrancisco.blogspot.com/2016/05/boma-sf-pac-slate-card-for-june-7-2016.html,http://bomasanfrancisco.blogspot.com/2016/05/boma-sf-pac-slate-card-for-june-7-2016.html,http://bomasanfrancisco.blogspot.com/2016/05/boma-sf-pac-slate-card-for-june-7-2016.html,http://bomasanfrancisco.blogspot.com/2016/05/boma-sf-pac-slate-card-for-june-7-2016.html
Central City Democrats,http://centralcitydemocrats.blogspot.com/2016/04/endorsements-slate-published-in-central.html,http://centralcitydemocrats.blogspot.com/2016/04/endorsements-slate-published-in-central.html,http://centralcitydemocrats.blogspot.com/2016/04/endorsements-slate-published-in-central.html,NA
City Democratic Club,http://www.citydemocratic.club/2016/04/endorsements-june-2016-primary-election,http://www.citydemocratic.club/2016/04/endorsements-june-2016-primary-election,http://www.citydemocratic.club/2016/04/endorsements-june-2016-primary-election,http://www.citydemocratic.club/2016/04/endorsements-june-2016-primary-election/
District 5 Democratic Club,http://www.d5dems.org/endorsements,http://www.d5dems.org/endorsements,http://www.d5dems.org/endorsements,http://www.d5dems.org/endorsements
Evolve CA,http://www.evolve-ca.org/2016-endorsements,http://www.evolve-ca.org/2016-endorsements,NA,http://www.evolve-ca.org/2016-endorsements
FDR Democratic Club of San Francisco,http://us3.campaign-archive2.com/?u=82168ffd94fdebc83d0a2cacf&id=fbfae6a53d,http://us3.campaign-archive2.com/?u=82168ffd94fdebc83d0a2cacf&id=fbfae6a53d,http://us3.campaign-archive2.com/?u=82168ffd94fdebc83d0a2cacf&id=fbfae6a53d,http://us3.campaign-archive2.com/?u=82168ffd94fdebc83d0a2cacf&id=fbfae6a53d
